"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 29 19:30:39 GMT 2022","Wed Jun 29 19:30:45 GMT 2022","6226","tests","test_05_data_handling","","","","test_update_data",""
"passed","Wed Jun 29 19:29:23 GMT 2022","Wed Jun 29 19:29:26 GMT 2022","2102","tests","test_03_signup","","","","test_invalid_signup[Invalid email format]","
    Signup test
    "
"passed","Wed Jun 29 19:29:05 GMT 2022","Wed Jun 29 19:29:16 GMT 2022","10866","tests","test_01_main_page","","","","test_wait_for_main_page_load","
    Wait for docker container to load
    "
"passed","Wed Jun 29 19:29:50 GMT 2022","Wed Jun 29 19:29:52 GMT 2022","2016","tests","test_04_login","","","","test_invalid_login[Empty fields]","
    Test invalid login
    "
"passed","Wed Jun 29 19:29:53 GMT 2022","Wed Jun 29 19:29:55 GMT 2022","2029","tests","test_04_login","","","","test_invalid_login[Empty email]","
    Test invalid login
    "
"passed","Wed Jun 29 19:29:20 GMT 2022","Wed Jun 29 19:29:21 GMT 2022","318","tests","test_02_cookie_policy","","","","test_cookie_policy[//div[contains(text(), ""I decline!"")]-decline]","
    Test decline button on cookie policy bar
    "
"passed","Wed Jun 29 19:30:03 GMT 2022","Wed Jun 29 19:30:05 GMT 2022","1999","tests","test_04_login","","","","test_invalid_login[Invalid email format]","
    Test invalid login
    "
"passed","Wed Jun 29 19:29:33 GMT 2022","Wed Jun 29 19:29:35 GMT 2022","2089","tests","test_03_signup","","","","test_invalid_signup[Empty password]","
    Signup test
    "
"passed","Wed Jun 29 19:29:37 GMT 2022","Wed Jun 29 19:29:39 GMT 2022","2038","tests","test_03_signup","","","","test_invalid_signup[All fields empty]","
    Signup test
    "
"passed","Wed Jun 29 19:29:30 GMT 2022","Wed Jun 29 19:29:32 GMT 2022","2036","tests","test_03_signup","","","","test_invalid_signup[Empty email]","
    Signup test
    "
"passed","Wed Jun 29 19:30:24 GMT 2022","Wed Jun 29 19:30:28 GMT 2022","4156","tests","test_05_data_handling","","","","test_list_multi_page_data",""
"passed","Wed Jun 29 19:31:13 GMT 2022","Wed Jun 29 19:31:14 GMT 2022","1562","tests","test_06_logout","","","","test_logout",""
"passed","Wed Jun 29 19:30:00 GMT 2022","Wed Jun 29 19:30:02 GMT 2022","1989","tests","test_04_login","","","","test_invalid_login[Invalid password]","
    Test invalid login
    "
"passed","Wed Jun 29 19:30:58 GMT 2022","Wed Jun 29 19:31:10 GMT 2022","12316","tests","test_05_data_handling","","","","test_bulk_insert_data_from_file",""
"passed","Wed Jun 29 19:30:51 GMT 2022","Wed Jun 29 19:30:55 GMT 2022","4207","tests","test_05_data_handling","","","","test_delete_data",""
"passed","Wed Jun 29 19:29:40 GMT 2022","Wed Jun 29 19:29:48 GMT 2022","8346","tests","test_03_signup","","","","test_valid_signup[testuser0-testuser0@mailinator.com-TestUserPass0-Your registration was successful!]","
    Signup test
    "
"passed","Wed Jun 29 19:29:27 GMT 2022","Wed Jun 29 19:29:29 GMT 2022","2020","tests","test_03_signup","","","","test_invalid_signup[Empty username]","
    Signup test
    "
"passed","Wed Jun 29 19:29:56 GMT 2022","Wed Jun 29 19:29:58 GMT 2022","2050","tests","test_04_login","","","","test_invalid_login[Empty password]","
    Test invalid login
    "
"passed","Wed Jun 29 19:30:48 GMT 2022","Wed Jun 29 19:30:48 GMT 2022","155","tests","test_05_data_handling","","","","test_download_data",""
"passed","Wed Jun 29 19:29:22 GMT 2022","Wed Jun 29 19:29:22 GMT 2022","310","tests","test_02_cookie_policy","","","","test_cookie_policy[//div[contains(text(), ""I accept!"")]-accept]","
    Test decline button on cookie policy bar
    "
"passed","Wed Jun 29 19:29:18 GMT 2022","Wed Jun 29 19:29:19 GMT 2022","1366","tests","test_02_cookie_policy","","","","test_learn_more_link","
    Test Learn more... link on cookie policy bar
    "
"passed","Wed Jun 29 19:30:31 GMT 2022","Wed Jun 29 19:30:36 GMT 2022","4965","tests","test_05_data_handling","","","","test_insert_data",""
"passed","Wed Jun 29 19:30:13 GMT 2022","Wed Jun 29 19:30:16 GMT 2022","2867","tests","test_04_login","","","","test_valid_login[testuser1@mailinator.com-TestUserPass1-//a[@href=""#/@testuser1/""]-testuser1]","
    Test valid login
    "
"passed","Wed Jun 29 19:30:19 GMT 2022","Wed Jun 29 19:30:21 GMT 2022","2216","tests","test_05_data_handling","","","","test_list_data",""
"passed","Wed Jun 29 19:30:06 GMT 2022","Wed Jun 29 19:30:08 GMT 2022","2014","tests","test_04_login","","","","test_invalid_login[Not registered email]","
    Test invalid login
    "
